M_s,M_p,M_t,P,D,i,phi,z,k
1,318,10,15,375,30,45,25,7 
1,318,50,15,375,30,45,25,7 
1,318,100,15,375,30,45,25,7 
1,318,500,15,375,30,45,25,7 
1,318,318,15,375,30,45,25,7 
