M_s,M_p,M_t,P,D,i,phi,z,k
1,318,318,15,375,30,45,5,5 
1,318,318,15,375,30,45,10,5 
1,318,318,15,375,30,45,20,5 
1,318,318,15,375,30,45,30,5 
1,318,318,15,375,30,45,40,5 
